Jamesie	James	subst:sg:voc:m1	nazwisko
Jamesa	James	subst:sg:acc:m1	nazwisko
Jamesie	James	subst:sg:loc:m1	nazwisko
Jamesem	James	subst:sg:inst:m1	nazwisko
Jamesach	James	subst:pl:loc:m1	nazwisko
Jamesami	James	subst:pl:inst:m1	nazwisko
Jamesa	James	subst:sg:gen:m1	nazwisko
Jamesów	James	subst:pl:acc:m1	nazwisko
Jamesowie	James	subst:pl:voc:m1	nazwisko
Jamesowie	James	subst:pl:nom:m1	nazwisko
Jamesowi	James	subst:sg:dat:m1	nazwisko
Jamesom	James	subst:pl:dat:m1	nazwisko
James	James	subst:sg:nom:m1	nazwisko
Jamesy	James	depr:pl:nom:m2	nazwisko
Jamesów	James	subst:pl:gen:m1	nazwisko
Jamesy	James	depr:pl:voc:m2	nazwisko
Jacobach	Jacob	subst:pl:loc:m1	
Jacoby	Jacob	depr:pl:voc:m2	
Jacoba	Jacob	subst:sg:acc:m1	
Jacobem	Jacob	subst:sg:inst:m1	
Jacobie	Jacob	subst:sg:voc:m1	
Jacobowi	Jacob	subst:sg:dat:m1	
Jacobów	Jacob	subst:pl:gen:m1	
Jacoba	Jacob	subst:sg:gen:m1	
Jacob	Jacob	subst:sg:nom:m1	
Jacobie	Jacob	subst:sg:loc:m1	
Jacoby	Jacob	depr:pl:nom:m2	
Jacobami	Jacob	subst:pl:inst:m1	
Jacobów	Jacob	subst:pl:acc:m1	
Jacobom	Jacob	subst:pl:dat:m1	
Jacobowie	Jacob	subst:pl:voc:m1	
Jacobowie	Jacob	subst:pl:nom:m1	
października	październik	subst:sg:gen:m3	pospolita
w	w	prep:acc:nwok	pospolita
we	w	prep:loc:wok	pospolita
w	w	prep:loc:nwok	pospolita
we	w	prep:acc:wok	pospolita
w	w	prep:acc:nwok	pospolita
we	w	prep:loc:wok	pospolita
w	w	prep:loc:nwok	pospolita
we	w	prep:acc:wok	pospolita
stanie	stać	fin:sg:ter:perf	pospolita
stanie	stać	fin:sg:ter:perf	pospolita
stanie	stać	ger:sg:nom.acc:n2:imperf:aff	pospolita
stanie	stać	ger:sg:nom.acc:n2:perf:aff	pospolita
stanie	stan	subst:sg:voc:m3	pospolita
stanie	stan	subst:sg:loc:m3	pospolita
stanie	stanąć	fin:sg:ter:perf	pospolita
stanie	stań	subst:pl:acc:f	pospolita
stanie	stań	subst:pl:voc:f	pospolita
stanie	stań	subst:pl:nom:f	pospolita
marca	marzec	subst:sg:gen:m3	pospolita
