Jamesie;James;subst;sg;m1;nazwisko
Jamesa;James;subst;sg;m1;nazwisko
Jamesie;James;subst;sg;m1;nazwisko
Jamesem;James;subst;sg;m1;nazwisko
Jamesach;James;subst;pl;m1;nazwisko
Jamesami;James;subst;pl;m1;nazwisko
Jamesa;James;subst;sg;m1;nazwisko
Jamesów;James;subst;pl;m1;nazwisko
Jamesowie;James;subst;pl;m1;nazwisko
Jamesowie;James;subst;pl;m1;nazwisko
Jamesowi;James;subst;sg;m1;nazwisko
Jamesom;James;subst;pl;m1;nazwisko
James;James;subst;sg;m1;nazwisko
Jamesy;James;depr;pl;m2;nazwisko
Jamesów;James;subst;pl;m1;nazwisko
Jamesy;James;depr;pl;m2;nazwisko
Jacobach;Jacob;subst;pl;m1;
Jacoby;Jacob;depr;pl;m2;
Jacoba;Jacob;subst;sg;m1;
Jacobem;Jacob;subst;sg;m1;
Jacobie;Jacob;subst;sg;m1;
Jacobowi;Jacob;subst;sg;m1;
Jacobów;Jacob;subst;pl;m1;
Jacoba;Jacob;subst;sg;m1;
Jacob;Jacob;subst;sg;m1;
Jacobie;Jacob;subst;sg;m1;
Jacoby;Jacob;depr;pl;m2;
Jacobami;Jacob;subst;pl;m1;
Jacobów;Jacob;subst;pl;m1;
Jacobom;Jacob;subst;pl;m1;
Jacobowie;Jacob;subst;pl;m1;
Jacobowie;Jacob;subst;pl;m1;
października;październik;subst;sg;m3;pospolita
stanie;stan;subst;sg;m3;pospolita
stanie;stan;subst;sg;m3;pospolita
stanie;stań;subst;pl;f;pospolita
stanie;stań;subst;pl;f;pospolita
stanie;stań;subst;pl;f;pospolita
marca;marzec;subst;sg;m3;pospolita
wynalazce;wynalazca;depr;pl;m2;pospolita
wynalazców;wynalazca;subst;pl;m1;pospolita
wynalazce;wynalazca;depr;pl;m2;pospolita
wynalazców;wynalazca;subst;pl;m1;pospolita
wynalazcom;wynalazca;subst;pl;m1;pospolita
wynalazco;wynalazca;subst;sg;m1;pospolita
wynalazcę;wynalazca;subst;sg;m1;pospolita
wynalazcą;wynalazca;subst;sg;m1;pospolita
wynalazcy;wynalazca;subst;pl;m1;pospolita
wynalazca;wynalazca;subst;sg;m1;pospolita
wynalazcy;wynalazca;subst;pl;m1;pospolita
wynalazcami;wynalazca;subst;pl;m1;pospolita
wynalazcach;wynalazca;subst;pl;m1;pospolita
wynalazcy;wynalazca;subst;sg;m1;pospolita
wynalazcy;wynalazca;subst;sg;m1;pospolita
wynalazcy;wynalazca;subst;sg;m1;pospolita
pierwszej;pierwsza;subst;sg;f;pospolita
pierwszej;pierwsza;subst;sg;f;pospolita
pierwszej;pierwsza;subst;sg;f;pospolita
kasy;kasa;subst;pl;f;pospolita
kasy;kasa;subst;pl;f;pospolita
kasy;kasa;subst;sg;f;pospolita
kasy;kasa;subst;pl;f;pospolita
właścicielem;właściciel;subst;sg;m1;pospolita
pierwszy;pierwszy;subst;sg;m3;pospolita
pierwszymi;pierwszy;subst;pl;m3;pospolita
pierwsze;pierwszy;subst;pl;m3;pospolita
pierwszy;pierwszy;subst;sg;m3;pospolita
pierwszych;pierwszy;subst;pl;m3;pospolita
pierwszy;pierwszy;subst;sg;m3;pospolita
pierwsze;pierwszy;subst;pl;m3;pospolita
pierwsze;pierwszy;subst;pl;m3;pospolita
pierwszemu;pierwszy;subst;sg;m3;pospolita
pierwszego;pierwszy;subst;sg;m3;pospolita
pierwszych;pierwszy;subst;pl;m3;pospolita
pierwszym;pierwszy;subst;sg;m3;pospolita
pierwszym;pierwszy;subst;sg;m3;pospolita
pierwszym;pierwszy;subst;pl;m3;pospolita
AR-ze;AR;subst;sg;m3;własna
AR-ze;AR;subst;sg;m3;własna
ARiMR-ze;ARiMR;subst;sg;m3;własna
ARiMR-ze;ARiMR;subst;sg;m3;własna
ASR-ze;ASR;subst;sg;m3;pospolita
ASR-ze;ASR;subst;sg;m3;pospolita
BBWR-ze;BBWR;subst;sg;m3;własna
BBWR-ze;BBWR;subst;sg;m3;własna
BOR-ze;BOR;subst;sg;m3;własna
BOR-ze;BOR;subst;sg;m3;własna
BR-ze;BR;subst;sg;m3;pospolita
BR-ze;BR;subst;sg;m3;pospolita
BRR-ze;BRR;subst;sg;m3;organizacja
BRR-ze;BRR;subst;sg;m3;organizacja
BSR-ze;BSR;subst;sg;m3;organizacja
BSR-ze;BSR;subst;sg;m3;organizacja
EBOiR-ze;EBOiR;subst;sg;m3;organizacja
EBOiR-ze;EBOiR;subst;sg;m3;organizacja
EBOR-ze;EBOR;subst;sg;m3;pospolita
EBOR-ze;EBOR;subst;sg;m3;pospolita
FIR-ze;FIR;subst;sg;m3;
FIR-ze;FIR;subst;sg;m3;
GOPR-ze;GOPR;subst;sg;m3;własna
GOPR-ze;GOPR;subst;sg;m3;własna
